feature_code,date_code,units,value,region_of_residence,breakdown_of_domestic_tourism,local_authority
S12000039,2016-2018,million pounds (GBP),8,England,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,140,All of GB,Nights,West Dunbartonshire
S12000039,2015-2017,million pounds (GBP),8,England,Expenditure,West Dunbartonshire
S12000039,2017-2019,Thousand Nights,76,England,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Visits,68,Scotland,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Nights,59,Scotland,Nights,West Dunbartonshire
S12000039,2016-2018,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,32,Scotland,Visits,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),6,England,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,28,England,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,27,England,Visits,West Dunbartonshire
S12000039,2009-2011,million pounds (GBP),3,England,Expenditure,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),13,Scotland,Expenditure,West Dunbartonshire
S12000039,2012-2014,Thousand Visits,67,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Nights,183,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,million pounds (GBP),16,All of GB,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,49,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,44,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,million pounds (GBP),9,England,Expenditure,West Dunbartonshire
S12000039,2017-2019,Thousand Visits,70,All of GB,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Nights,144,All of GB,Nights,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,28,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,61,All of GB,Visits,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,58,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,29,England,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,28,Scotland,Visits,West Dunbartonshire
S12000039,2017-2019,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,64,All of GB,Visits,West Dunbartonshire
S12000039,2011-2013,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2013-2015,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2014-2016,Thousand Visits,28,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,Thousand Nights,128,All of GB,Nights,West Dunbartonshire
S12000039,2017-2019,Thousand Nights,98,Scotland,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,153,Scotland,Nights,West Dunbartonshire
S12000039,2017-2019,Thousand Visits,22,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,64,England,Nights,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),2,Scotland,Expenditure,West Dunbartonshire
S12000039,2009-2011,Thousand Visits,96,All of GB,Visits,West Dunbartonshire
S12000039,2011-2013,Thousand Nights,256,All of GB,Nights,West Dunbartonshire
S12000039,2012-2014,Thousand Nights,90,England,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,318,All of GB,Nights,West Dunbartonshire
S12000039,2015-2017,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2014-2016,Thousand Visits,64,All of GB,Visits,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,110,England,Nights,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,92,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,59,Scotland,Visits,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),19,All of GB,Expenditure,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,81,All of GB,Visits,West Dunbartonshire
S12000039,2012-2014,Thousand Visits,26,Scotland,Visits,West Dunbartonshire
S12000039,2017-2019,million pounds (GBP),11,England,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,27,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,118,All of GB,Nights,West Dunbartonshire
S12000039,2016-2018,million pounds (GBP),12,All of GB,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,36,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,Thousand Nights,40,Scotland,Nights,West Dunbartonshire
S12000039,2013-2015,million pounds (GBP),3,Scotland,Expenditure,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,56,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Nights,84,England,Nights,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,82,England,Nights,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),10,All of GB,Expenditure,West Dunbartonshire
S12000039,2011-2013,Thousand Nights,81,England,Nights,West Dunbartonshire
S12000039,2011-2013,Thousand Nights,161,Scotland,Nights,West Dunbartonshire
S12000039,2010-2012,Thousand Nights,273,All of GB,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Visits,24,England,Visits,West Dunbartonshire
S12000039,2012-2014,Thousand Nights,91,Scotland,Nights,West Dunbartonshire
S12000039,2013-2015,million pounds (GBP),8,All of GB,Expenditure,West Dunbartonshire
S12000039,2009-2011,million pounds (GBP),14,Scotland,Expenditure,West Dunbartonshire
S12000039,2014-2016,Thousand Visits,36,England,Visits,West Dunbartonshire
S12000039,2017-2019,million pounds (GBP),15,All of GB,Expenditure,West Dunbartonshire
S12000039,2011-2013,million pounds (GBP),9,Scotland,Expenditure,West Dunbartonshire
S12000039,2015-2017,million pounds (GBP),13,All of GB,Expenditure,West Dunbartonshire
S12000039,2017-2019,Thousand Visits,48,Scotland,Visits,West Dunbartonshire
S12000039,2017-2019,Thousand Nights,174,All of GB,Nights,West Dunbartonshire
S12000039,2014-2016,Thousand Nights,91,England,Nights,West Dunbartonshire
S12000039,2012-2014,Thousand Visits,32,England,Visits,West Dunbartonshire
S12000039,2014-2016,million pounds (GBP),12,All of GB,Expenditure,West Dunbartonshire
S12000039,2009-2011,million pounds (GBP),19,All of GB,Expenditure,West Dunbartonshire
S12000039,2016-2018,Thousand Nights,84,England,Nights,West Dunbartonshire
S12000039,2014-2016,million pounds (GBP),3,Scotland,Expenditure,West Dunbartonshire
S12000039,2012-2014,Thousand Nights,192,All of GB,Nights,West Dunbartonshire
S12000040,2016-2018,Thousand Nights,197,All of GB,Nights,West Lothian
S12000040,2015-2017,Thousand Nights,115,England,Nights,West Lothian
S12000040,2015-2017,Thousand Visits,48,England,Visits,West Lothian
S12000040,2015-2017,million pounds (GBP),2,Scotland,Expenditure,West Lothian
S12000040,2013-2015,Thousand Visits,135,All of GB,Visits,West Lothian
S12000040,2010-2012,Thousand Visits,51,England,Visits,West Lothian
S12000040,2010-2012,million pounds (GBP),14,All of GB,Expenditure,West Lothian
S12000040,2010-2012,million pounds (GBP),3,Scotland,Expenditure,West Lothian
S12000040,2012-2014,Thousand Visits,66,Scotland,Visits,West Lothian
S12000040,2017-2019,million pounds (GBP),9,England,Expenditure,West Lothian
S12000040,2009-2011,Thousand Visits,56,England,Visits,West Lothian
S12000040,2013-2015,Thousand Nights,291,All of GB,Nights,West Lothian
S12000040,2011-2013,Thousand Visits,54,Scotland,Visits,West Lothian
S12000040,2011-2013,Thousand Nights,104,Scotland,Nights,West Lothian
S12000040,2011-2013,million pounds (GBP),13,All of GB,Expenditure,West Lothian
S12000040,2016-2018,Thousand Visits,62,England,Visits,West Lothian
S12000040,2013-2015,Thousand Visits,60,England,Visits,West Lothian
S12000040,2017-2019,Thousand Visits,39,Scotland,Visits,West Lothian
S12000040,2015-2017,million pounds (GBP),7,England,Expenditure,West Lothian
S12000040,2011-2013,million pounds (GBP),4,Scotland,Expenditure,West Lothian
S12000040,2014-2016,Thousand Visits,140,All of GB,Visits,West Lothian
S12000040,2017-2019,Thousand Nights,130,England,Nights,West Lothian
S12000040,2009-2011,Thousand Visits,98,Scotland,Visits,West Lothian
S12000040,2012-2014,Thousand Visits,143,All of GB,Visits,West Lothian
S12000040,2009-2011,Thousand Visits,156,All of GB,Visits,West Lothian
S12000040,2012-2014,million pounds (GBP),7,England,Expenditure,West Lothian
S12000040,2013-2015,Thousand Nights,243,England,Nights,West Lothian
S12000040,2009-2011,Thousand Nights,280,England,Nights,West Lothian
S12000040,2009-2011,million pounds (GBP),5,Scotland,Expenditure,West Lothian
S12000040,2012-2014,Thousand Nights,271,England,Nights,West Lothian
S12000040,2016-2018,Thousand Visits,86,All of GB,Visits,West Lothian
S12000040,2013-2015,million pounds (GBP),15,All of GB,Expenditure,West Lothian
S12000040,2011-2013,Thousand Nights,124,England,Nights,West Lothian
S12000040,2012-2014,Thousand Nights,330,All of GB,Nights,West Lothian
S12000040,2012-2014,million pounds (GBP),7,Scotland,Expenditure,West Lothian
S12000040,2015-2017,Thousand Visits,27,Scotland,Visits,West Lothian
S12000040,2011-2013,Thousand Nights,228,All of GB,Nights,West Lothian
S12000040,2013-2015,million pounds (GBP),7,Scotland,Expenditure,West Lothian
S12000040,2014-2016,Thousand Nights,313,All of GB,Nights,West Lothian
S12000040,2014-2016,Thousand Nights,88,Scotland,Nights,West Lothian
S12000040,2015-2017,Thousand Visits,77,All of GB,Visits,West Lothian
S12000040,2016-2018,Thousand Nights,53,Scotland,Nights,West Lothian
S12000040,2010-2012,Thousand Visits,124,All of GB,Visits,West Lothian
S12000040,2010-2012,Thousand Visits,72,Scotland,Visits,West Lothian
S12000040,2011-2013,Thousand Visits,103,All of GB,Visits,West Lothian
S12000040,2013-2015,Thousand Visits,66,Scotland,Visits,West Lothian
S12000040,2016-2018,million pounds (GBP),12,All of GB,Expenditure,West Lothian
S12000040,2010-2012,million pounds (GBP),10,England,Expenditure,West Lothian
S12000040,2009-2011,Thousand Nights,476,All of GB,Nights,West Lothian
S12000040,2010-2012,Thousand Nights,282,All of GB,Nights,West Lothian
S12000040,2009-2011,Thousand Nights,186,Scotland,Nights,West Lothian
S12000040,2012-2014,million pounds (GBP),15,All of GB,Expenditure,West Lothian
S12000040,2011-2013,Thousand Visits,49,England,Visits,West Lothian
S12000040,2009-2011,million pounds (GBP),9,England,Expenditure,West Lothian
S12000040,2015-2017,Thousand Nights,39,Scotland,Nights,West Lothian
S12000040,2011-2013,million pounds (GBP),9,England,Expenditure,West Lothian
S12000040,2016-2018,Thousand Nights,144,England,Nights,West Lothian
S12000040,2017-2019,Thousand Nights,88,Scotland,Nights,West Lothian
S12000040,2017-2019,million pounds (GBP),12,All of GB,Expenditure,West Lothian
S12000040,2017-2019,Thousand Visits,56,England,Visits,West Lothian
S12000040,2014-2016,million pounds (GBP),8,England,Expenditure,West Lothian
S12000040,2012-2014,Thousand Nights,114,Scotland,Nights,West Lothian
S12000040,2014-2016,million pounds (GBP),6,Scotland,Expenditure,West Lothian
S12000040,2017-2019,million pounds (GBP),3,Scotland,Expenditure,West Lothian
S12000040,2012-2014,Thousand Visits,71,England,Visits,West Lothian
S12000040,2015-2017,Thousand Nights,157,All of GB,Nights,West Lothian
S12000040,2016-2018,million pounds (GBP),3,Scotland,Expenditure,West Lothian
S12000040,2013-2015,million pounds (GBP),7,England,Expenditure,West Lothian
S12000040,2010-2012,Thousand Nights,148,Scotland,Nights,West Lothian
S12000040,2016-2018,Thousand Visits,24,Scotland,Visits,West Lothian
S12000040,2014-2016,Thousand Visits,59,Scotland,Visits,West Lothian
S12000040,2010-2012,Thousand Nights,124,England,Nights,West Lothian
S12000040,2017-2019,Thousand Visits,95,All of GB,Visits,West Lothian
S12000040,2016-2018,million pounds (GBP),9,England,Expenditure,West Lothian
S12000040,2014-2016,Thousand Visits,72,England,Visits,West Lothian
S12000040,2014-2016,million pounds (GBP),16,All of GB,Expenditure,West Lothian
S12000040,2009-2011,million pounds (GBP),14,All of GB,Expenditure,West Lothian
S12000040,2013-2015,Thousand Nights,100,Scotland,Nights,West Lothian
S12000040,2014-2016,Thousand Nights,278,England,Nights,West Lothian
S12000040,2015-2017,million pounds (GBP),10,All of GB,Expenditure,West Lothian
S12000040,2017-2019,Thousand Nights,218,All of GB,Nights,West Lothian
S92000003,2012-2014,Thousand Visits,6441,Scotland,Visits,NA
S92000003,2010-2012,Thousand Nights,18949,Scotland,Nights,NA
S92000003,2010-2012,million pounds (GBP),1675,England,Expenditure,NA
S92000003,2010-2012,Thousand Visits,12736,All of GB,Visits,NA
S92000003,2009-2011,Thousand Visits,5906,England,Visits,NA
S92000003,2011-2013,Thousand Nights,18188,Scotland,Nights,NA
S92000003,2017-2019,Thousand Nights,41937,All of GB,Nights,NA
S92000003,2014-2016,Thousand Nights,40607,All of GB,Nights,NA
S92000003,2012-2014,Thousand Nights,22965,England,Nights,NA
S92000003,2010-2012,Thousand Visits,5921,England,Visits,NA
S92000003,2014-2016,million pounds (GBP),1126,Scotland,Expenditure,NA
S92000003,2017-2019,Thousand Visits,12426,All of GB,Visits,NA
S92000003,2013-2015,Thousand Nights,17977,Scotland,Nights,NA
S92000003,2016-2018,Thousand Nights,39424,All of GB,Nights,NA
S92000003,2017-2019,Thousand Nights,17996,Scotland,Nights,NA
S92000003,2012-2014,Thousand Nights,18464,Scotland,Nights,NA
S92000003,2011-2013,Thousand Visits,12745,All of GB,Visits,NA
S92000003,2014-2016,Thousand Visits,12007,All of GB,Visits,NA
S92000003,2010-2012,Thousand Visits,6593,Scotland,Visits,NA
S92000003,2013-2015,Thousand Visits,12210,All of GB,Visits,NA
S92000003,2009-2011,Thousand Visits,12499,All of GB,Visits,NA
S92000003,2014-2016,Thousand Nights,22698,England,Nights,NA
S92000003,2016-2018,Thousand Visits,6062,England,Visits,NA
S92000003,2016-2018,Thousand Nights,22836,England,Nights,NA
S92000003,2015-2017,million pounds (GBP),3061,All of GB,Expenditure,NA
S92000003,2015-2017,Thousand Nights,15759,Scotland,Nights,NA
S92000003,2011-2013,million pounds (GBP),1730,England,Expenditure,NA
S92000003,2010-2012,Thousand Nights,24112,England,Nights,NA
S92000003,2009-2011,million pounds (GBP),2698,All of GB,Expenditure,NA
S92000003,2012-2014,Thousand Nights,42551,All of GB,Nights,NA
S92000003,2013-2015,Thousand Nights,22957,England,Nights,NA
S92000003,2011-2013,Thousand Nights,43876,All of GB,Nights,NA
S92000003,2012-2014,million pounds (GBP),1146,Scotland,Expenditure,NA
S92000003,2013-2015,million pounds (GBP),1163,Scotland,Expenditure,NA
S92000003,2011-2013,Thousand Nights,24459,England,Nights,NA
S92000003,2012-2014,Thousand Visits,5742,England,Visits,NA
S92000003,2016-2018,Thousand Visits,5632,Scotland,Visits,NA
S92000003,2016-2018,Thousand Nights,15575,Scotland,Nights,NA
S92000003,2009-2011,Thousand Nights,25103,England,Nights,NA
S92000003,2017-2019,million pounds (GBP),2989,All of GB,Expenditure,NA
S92000003,2011-2013,Thousand Visits,5943,England,Visits,NA
S92000003,2009-2011,million pounds (GBP),1644,England,Expenditure,NA
S92000003,2015-2017,Thousand Visits,5650,Scotland,Visits,NA
S92000003,2016-2018,million pounds (GBP),1040,Scotland,Expenditure,NA
S92000003,2014-2016,million pounds (GBP),3016,All of GB,Expenditure,NA
S92000003,2013-2015,million pounds (GBP),1777,England,Expenditure,NA
S92000003,2009-2011,Thousand Nights,44671,All of GB,Nights,NA
S92000003,2009-2011,Thousand Nights,18434,Scotland,Nights,NA
S92000003,2017-2019,Thousand Visits,5920,England,Visits,NA
S92000003,2017-2019,million pounds (GBP),1163,Scotland,Expenditure,NA
S92000003,2015-2017,million pounds (GBP),1928,England,Expenditure,NA
S92000003,2010-2012,million pounds (GBP),1043,Scotland,Expenditure,NA
S92000003,2017-2019,Thousand Nights,23002,England,Nights,NA
S92000003,2011-2013,Thousand Visits,6580,Scotland,Visits,NA
S92000003,2009-2011,million pounds (GBP),970,Scotland,Expenditure,NA
S92000003,2012-2014,Thousand Visits,12464,All of GB,Visits,NA
S92000003,2010-2012,million pounds (GBP),2809,All of GB,Expenditure,NA
S92000003,2014-2016,million pounds (GBP),1823,England,Expenditure,NA
S92000003,2013-2015,million pounds (GBP),3013,All of GB,Expenditure,NA
S92000003,2011-2013,million pounds (GBP),1097,Scotland,Expenditure,NA
S92000003,2015-2017,Thousand Visits,6141,England,Visits,NA
S92000003,2016-2018,Thousand Visits,11943,All of GB,Visits,NA
S92000003,2009-2011,Thousand Visits,6378,Scotland,Visits,NA
S92000003,2015-2017,Thousand Visits,12004,All of GB,Visits,NA
S92000003,2017-2019,million pounds (GBP),1767,England,Expenditure,NA
S92000003,2016-2018,million pounds (GBP),2888,All of GB,Expenditure,NA
S92000003,2013-2015,Thousand Visits,5721,England,Visits,NA
S92000003,2015-2017,Thousand Nights,39759,All of GB,Nights,NA
S92000003,2014-2016,Thousand Visits,5787,England,Visits,NA
S92000003,2012-2014,million pounds (GBP),1649,England,Expenditure,NA
S92000003,2011-2013,million pounds (GBP),2933,All of GB,Expenditure,NA
S92000003,2014-2016,Thousand Visits,5940,Scotland,Visits,NA
S92000003,2013-2015,Thousand Nights,41890,All of GB,Nights,NA
S92000003,2012-2014,million pounds (GBP),2884,All of GB,Expenditure,NA
S92000003,2016-2018,million pounds (GBP),1788,England,Expenditure,NA
S92000003,2013-2015,Thousand Visits,6227,Scotland,Visits,NA
S92000003,2014-2016,Thousand Nights,16936,Scotland,Nights,NA
S92000003,2015-2017,Thousand Nights,23109,England,Nights,NA
S92000003,2015-2017,million pounds (GBP),1079,Scotland,Expenditure,NA
S92000003,2017-2019,Thousand Visits,6284,Scotland,Visits,NA
S92000003,2010-2012,Thousand Nights,44181,All of GB,Nights,NA
S12000005,2009-2011,Thousand Visits,23,Scotland,Visits,Clackmannanshire
S12000005,2015-2017,Thousand Visits,21,England,Visits,Clackmannanshire
S12000005,2013-2015,Thousand Visits,21,Scotland,Visits,Clackmannanshire
S12000005,2016-2018,Thousand Nights,47,All of GB,Nights,Clackmannanshire
S12000005,2009-2011,million pounds (GBP),7,All of GB,Expenditure,Clackmannanshire
S12000005,2011-2013,Thousand Visits,15,Scotland,Visits,Clackmannanshire
S12000005,2016-2018,Thousand Visits,13,England,Visits,Clackmannanshire
S12000005,2011-2013,million pounds (GBP),5,All of GB,Expenditure,Clackmannanshire
S12000005,2012-2014,Thousand Nights,25,Scotland,Nights,Clackmannanshire
S12000005,2009-2011,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2016-2018,Thousand Nights,11,Scotland,Nights,Clackmannanshire
S12000005,2015-2017,Thousand Nights,86,England,Nights,Clackmannanshire
S12000005,2016-2018,Thousand Nights,37,England,Nights,Clackmannanshire
S12000005,2017-2019,Thousand Nights,111,All of GB,Nights,Clackmannanshire
S12000005,2015-2017,Thousand Nights,26,Scotland,Nights,Clackmannanshire
S12000005,2010-2012,Thousand Nights,35,Scotland,Nights,Clackmannanshire
S12000005,2013-2015,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2009-2011,Thousand Nights,39,Scotland,Nights,Clackmannanshire
S12000005,2017-2019,Thousand Visits,21,Scotland,Visits,Clackmannanshire
S12000005,2010-2012,Thousand Visits,21,Scotland,Visits,Clackmannanshire
S12000005,2015-2017,Thousand Nights,112,All of GB,Nights,Clackmannanshire
S12000005,2015-2017,Thousand Visits,13,Scotland,Visits,Clackmannanshire
S12000005,2016-2018,Thousand Visits,9,Scotland,Visits,Clackmannanshire
S12000005,2016-2018,million pounds (GBP),1,Scotland,Expenditure,Clackmannanshire
S12000005,2010-2012,million pounds (GBP),8,All of GB,Expenditure,Clackmannanshire
S12000005,2011-2013,Thousand Nights,24,Scotland,Nights,Clackmannanshire
S12000005,2010-2012,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2011-2013,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2014-2016,Thousand Nights,89,England,Nights,Clackmannanshire
S12000005,2009-2011,Thousand Visits,49,All of GB,Visits,Clackmannanshire
S12000005,2010-2012,Thousand Visits,50,All of GB,Visits,Clackmannanshire
S12000005,2011-2013,Thousand Visits,20,England,Visits,Clackmannanshire
S12000005,2012-2014,Thousand Visits,41,All of GB,Visits,Clackmannanshire
S12000005,2012-2014,million pounds (GBP),1,Scotland,Expenditure,Clackmannanshire
S12000005,2017-2019,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2016-2018,million pounds (GBP),1,England,Expenditure,Clackmannanshire
S12000005,2015-2017,million pounds (GBP),3,England,Expenditure,Clackmannanshire
S12000005,2012-2014,Thousand Nights,96,All of GB,Nights,Clackmannanshire
S12000005,2012-2014,Thousand Visits,27,England,Visits,Clackmannanshire
S12000005,2016-2018,million pounds (GBP),2,All of GB,Expenditure,Clackmannanshire
S12000005,2012-2014,Thousand Visits,14,Scotland,Visits,Clackmannanshire
S12000005,2017-2019,million pounds (GBP),3,All of GB,Expenditure,Clackmannanshire
S12000005,2014-2016,Thousand Nights,39,Scotland,Nights,Clackmannanshire
S12000005,2017-2019,Thousand Nights,46,England,Nights,Clackmannanshire
S12000005,2012-2014,Thousand Nights,71,England,Nights,Clackmannanshire
S12000005,2017-2019,Thousand Visits,38,All of GB,Visits,Clackmannanshire
S12000005,2010-2012,million pounds (GBP),4,England,Expenditure,Clackmannanshire
S12000005,2014-2016,Thousand Visits,21,Scotland,Visits,Clackmannanshire
S12000005,2009-2011,Thousand Visits,21,England,Visits,Clackmannanshire
S12000005,2017-2019,Thousand Nights,65,Scotland,Nights,Clackmannanshire
S12000005,2015-2017,million pounds (GBP),1,Scotland,Expenditure,Clackmannanshire
S12000005,2015-2017,Thousand Visits,34,All of GB,Visits,Clackmannanshire
S12000005,2011-2013,Thousand Nights,80,All of GB,Nights,Clackmannanshire
S12000005,2014-2016,million pounds (GBP),5,All of GB,Expenditure,Clackmannanshire
S12000005,2017-2019,Thousand Visits,16,England,Visits,Clackmannanshire
S12000005,2014-2016,million pounds (GBP),3,England,Expenditure,Clackmannanshire
S12000005,2016-2018,Thousand Visits,22,All of GB,Visits,Clackmannanshire
S12000005,2011-2013,million pounds (GBP),3,England,Expenditure,Clackmannanshire
S12000005,2013-2015,Thousand Nights,42,Scotland,Nights,Clackmannanshire
S12000005,2014-2016,Thousand Visits,44,All of GB,Visits,Clackmannanshire
S12000005,2014-2016,Thousand Visits,23,England,Visits,Clackmannanshire
S12000005,2009-2011,Thousand Nights,99,All of GB,Nights,Clackmannanshire
S12000005,2013-2015,million pounds (GBP),4,England,Expenditure,Clackmannanshire
S12000005,2012-2014,million pounds (GBP),3,England,Expenditure,Clackmannanshire
S12000005,2010-2012,Thousand Nights,130,All of GB,Nights,Clackmannanshire
S12000005,2014-2016,million pounds (GBP),2,Scotland,Expenditure,Clackmannanshire
S12000005,2015-2017,million pounds (GBP),4,All of GB,Expenditure,Clackmannanshire
S12000005,2011-2013,Thousand Nights,55,England,Nights,Clackmannanshire
S12000005,2010-2012,Thousand Nights,75,England,Nights,Clackmannanshire
S12000005,2017-2019,million pounds (GBP),1,England,Expenditure,Clackmannanshire
S12000005,2013-2015,million pounds (GBP),6,All of GB,Expenditure,Clackmannanshire
S12000005,2010-2012,Thousand Visits,24,England,Visits,Clackmannanshire
S12000005,2011-2013,Thousand Visits,35,All of GB,Visits,Clackmannanshire
S12000005,2012-2014,million pounds (GBP),5,All of GB,Expenditure,Clackmannanshire
S12000005,2009-2011,million pounds (GBP),3,England,Expenditure,Clackmannanshire
S12000005,2013-2015,Thousand Nights,93,England,Nights,Clackmannanshire
S12000005,2013-2015,Thousand Visits,26,England,Visits,Clackmannanshire
S12000005,2009-2011,Thousand Nights,39,England,Nights,Clackmannanshire
S12000005,2014-2016,Thousand Nights,129,All of GB,Nights,Clackmannanshire
S12000005,2013-2015,Thousand Visits,47,All of GB,Visits,Clackmannanshire
S12000005,2013-2015,Thousand Nights,135,All of GB,Nights,Clackmannanshire
S12000006,2009-2011,Thousand Visits,403,England,Visits,Dumfries and Galloway
S12000006,2011-2013,Thousand Visits,406,England,Visits,Dumfries and Galloway
S12000006,2011-2013,Thousand Nights,2444,All of GB,Nights,Dumfries and Galloway
S12000006,2012-2014,million pounds (GBP),76,England,Expenditure,Dumfries and Galloway
S12000006,2009-2011,million pounds (GBP),139,All of GB,Expenditure,Dumfries and Galloway
S12000006,2016-2018,Thousand Visits,257,Scotland,Visits,Dumfries and Galloway
S12000006,2011-2013,Thousand Visits,729,All of GB,Visits,Dumfries and Galloway
S12000006,2015-2017,Thousand Visits,436,England,Visits,Dumfries and Galloway
S12000006,2017-2019,million pounds (GBP),38,Scotland,Expenditure,Dumfries and Galloway
S12000006,2013-2015,Thousand Visits,702,All of GB,Visits,Dumfries and Galloway
S12000006,2009-2011,Thousand Visits,756,All of GB,Visits,Dumfries and Galloway
S12000006,2015-2017,Thousand Nights,703,Scotland,Nights,Dumfries and Galloway
S12000006,2012-2014,Thousand Nights,872,Scotland,Nights,Dumfries and Galloway
S12000006,2017-2019,Thousand Nights,716,Scotland,Nights,Dumfries and Galloway
S12000006,2012-2014,Thousand Visits,673,All of GB,Visits,Dumfries and Galloway
S12000006,2013-2015,Thousand Visits,269,Scotland,Visits,Dumfries and Galloway
S12000006,2010-2012,Thousand Nights,1578,England,Nights,Dumfries and Galloway
S12000006,2010-2012,Thousand Visits,344,Scotland,Visits,Dumfries and Galloway
S12000006,2014-2016,million pounds (GBP),135,All of GB,Expenditure,Dumfries and Galloway
S12000006,2013-2015,Thousand Nights,765,Scotland,Nights,Dumfries and Galloway
S12000006,2017-2019,Thousand Nights,2288,All of GB,Nights,Dumfries and Galloway
S12000006,2009-2011,Thousand Nights,2863,All of GB,Nights,Dumfries and Galloway
S12000006,2011-2013,million pounds (GBP),92,England,Expenditure,Dumfries and Galloway
S12000006,2017-2019,Thousand Visits,418,England,Visits,Dumfries and Galloway
S12000006,2014-2016,million pounds (GBP),92,England,Expenditure,Dumfries and Galloway
S12000006,2015-2017,million pounds (GBP),139,All of GB,Expenditure,Dumfries and Galloway
S12000006,2010-2012,million pounds (GBP),99,England,Expenditure,Dumfries and Galloway
S12000006,2015-2017,Thousand Visits,691,All of GB,Visits,Dumfries and Galloway
S12000006,2013-2015,million pounds (GBP),87,England,Expenditure,Dumfries and Galloway
S12000006,2014-2016,Thousand Visits,274,Scotland,Visits,Dumfries and Galloway
S12000006,2010-2012,Thousand Nights,2828,All of GB,Nights,Dumfries and Galloway
S12000006,2015-2017,million pounds (GBP),37,Scotland,Expenditure,Dumfries and Galloway
S12000006,2014-2016,Thousand Nights,2800,All of GB,Nights,Dumfries and Galloway
S12000006,2014-2016,million pounds (GBP),40,Scotland,Expenditure,Dumfries and Galloway
S12000006,2014-2016,Thousand Visits,694,All of GB,Visits,Dumfries and Galloway
S12000006,2012-2014,million pounds (GBP),115,All of GB,Expenditure,Dumfries and Galloway
S12000006,2016-2018,Thousand Visits,682,All of GB,Visits,Dumfries and Galloway
S12000006,2016-2018,Thousand Visits,406,England,Visits,Dumfries and Galloway
S12000006,2014-2016,Thousand Nights,836,Scotland,Nights,Dumfries and Galloway
S12000006,2015-2017,million pounds (GBP),99,England,Expenditure,Dumfries and Galloway
S12000006,2009-2011,Thousand Visits,341,Scotland,Visits,Dumfries and Galloway
S12000006,2016-2018,million pounds (GBP),86,England,Expenditure,Dumfries and Galloway
S12000006,2012-2014,Thousand Nights,2316,All of GB,Nights,Dumfries and Galloway
S12000006,2015-2017,Thousand Nights,1791,England,Nights,Dumfries and Galloway
S12000006,2009-2011,million pounds (GBP),96,England,Expenditure,Dumfries and Galloway
S12000006,2017-2019,Thousand Nights,1502,England,Nights,Dumfries and Galloway
